cell_id,latitude,longitude,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
C038,23.872728675476285,90.39297546452686,33.648181818181854,33.33727272727276,31.83000000000004,33.38400000000007,33.64714285714291,34.77200000000005,34.72000000000003,33.87600000000003,34.80538461538464,33.950000000000045,31.946363636363685
C039,23.872728675476285,90.40195861736805,33.950000000000045,33.422000000000025,32.17545454545461,33.11833333333334,33.883333333333326,35.124000000000024,34.65500000000003,34.04599999999999,35.076153846153886,33.899090909090944,31.91833333333335
C040,23.872728675476285,90.41094177020925,34.38538461538462,33.667777777777815,32.528333333333364,33.57000000000005,34.3126666666667,35.13000000000005,35.08818181818185,34.08600000000001,35.21615384615387,33.957272727272766,32.16833333333335
C041,23.872728675476285,90.41992492305044,33.77153846153851,33.400000000000034,32.24666666666673,32.30230769230775,33.98428571428576,34.398000000000025,34.868181818181824,33.892222222222244,34.713076923076926,33.27181818181822,31.935454545454604
C042,23.872728675476285,90.42890807589164,32.92384615384623,32.388000000000034,31.335000000000036,31.323846153846205,33.19857142857143,33.942000000000064,34.33909090909094,32.762500000000045,33.935,32.96818181818185,31.02800000000002
C043,23.872728675476285,90.43789122873284,31.606666666666683,31.180909090909097,30.873636363636365,30.400769230769242,31.965384615384664,32.736666666666736,33.11181818181825,31.735000000000014,33.021666666666704,32.48272727272729,30.49200000000002
C044,23.872728675476285,90.44687438157403,30.937692307692316,30.81181818181824,30.06636363636369,29.98333333333335,31.111538461538487,31.59200000000004,32.10400000000004,31.392222222222244,31.966923076923138,31.364545454545464,29.875454545454602
C045,23.872728675476285,90.45585753441522,30.406923076923135,30.348181818181843,29.268333333333374,29.403333333333364,30.366923076923115,31.139090909090953,31.02636363636367,30.434000000000026,31.49769230769232,30.664545454545475,29.193333333333328
C046,23.872728675476285,90.46484068725641,30.12714285714287,29.870000000000005,28.831538461538514,28.923333333333346,30.121666666666727,30.717272727272757,30.991818181818246,29.944000000000017,31.363333333333344,30.348181818181843,28.82666666666671
C047,23.872728675476285,90.47382384009761,30.287142857142896,30.246363636363697,29.017692307692357,29.296153846153857,30.465714285714284,31.340000000000032,31.758333333333326,30.156000000000006,31.623846153846216,30.648181818181854,29.30230769230775
C048,23.86374552263509,90.35704285316207,33.01833333333337,31.964000000000055,30.255454545454597,31.3154545454546,31.292857142857144,33.53666666666669,32.811666666666724,31.152222222222235,33.18076923076927,31.640000000000043,30.238888888888937
C049,23.86374552263509,90.36602600600327,33.910000000000025,32.99000000000001,30.917272727272746,31.424545454545466,31.862857142857195,33.55400000000003,33.383333333333326,32.12555555555559,33.57923076923083,31.9616666666667,30.810000000000002
C050,23.86374552263509,90.37500915884446,34.123333333333335,32.55600000000004,31.902000000000044,32.63400000000007,31.9071428571429,33.704000000000065,33.8518181818182,32.478888888888946,33.97461538461545,32.27000000000004,30.883333333333326
C051,23.86374552263509,90.38399231168566,33.170000000000016,32.72333333333336,31.944000000000017,32.79000000000002,32.332857142857165,34.33000000000004,33.870000000000005,33.21500000000003,34.35615384615386,32.31833333333333,31.39250000000004
C052,23.86374552263509,90.39297546452686,34.155454545454575,33.210000000000036,32.238,32.934000000000026,33.3857142857143,34.46555555555557,34.51666666666671,33.690000000000055,34.740769230769274,33.56090909090909,31.876000000000033
